Date,229200.KS
2019-12-01,10027.1494140625
2020-01-01,9333.9619140625
2020-02-01,9069.2021484375
2020-03-01,8939.2294921875
2020-04-01,9569.837890625
2020-05-01,10605.46484375
2020-06-01,11326.4599609375
2020-07-01,12393.3408203125
2020-08-01,13089.9794921875
2020-09-01,12880.4990234375
2020-10-01,11784.3896484375
2020-11-01,13216.640625
2020-12-01,15062.9755859375
2021-01-01,14044.8115234375
2021-02-01,13314.072265625
2021-03-01,13932.763671875
2021-04-01,13650.212890625
2021-05-01,13774.38671875
2021-06-01,14340.1201171875
2021-07-01,14217.134765625
2021-08-01,14797.626953125
2021-09-01,14428.669921875
2021-10-01,14113.8271484375
2021-11-01,14207.2958984375
2021-12-01,14827.142578125
2022-01-01,12136.21875
2022-02-01,12219.8486328125
2022-03-01,12918.4072265625
2022-04-01,12244.4462890625
2022-05-01,12369.18359375
2022-06-01,10360.4287109375
2022-07-01,11270.7998046875
2022-08-01,11275.74609375
2022-09-01,9435.212890625
2022-10-01,9929.98046875
2022-11-01,10216.9453125
2022-12-01,9539.1142578125
2023-01-01,10117.9912109375
2023-02-01,11300.4853515625
2023-03-01,12458.2412109375
2023-04-01,12839.2119140625
2023-05-01,12979.8798828125
2023-06-01,13104.06640625
2023-07-01,14832.7294921875
2023-08-01,14683.70703125
2023-09-01,13123.935546875
2023-10-01,11375.40234375
2023-11-01,13054.3916015625
2023-12-01,13849.1796875
2024-01-01,12353.9853515625
2024-02-01,13893.88671875
2024-03-01,15071.166015625
2024-04-01,14301.2158203125
2024-05-01,13217.0556640625
2024-06-01,13520.49609375
2024-07-01,13306.595703125
2024-08-01,12839.0
2024-09-01,12799.2041015625
2024-10-01,12644.9970703125
2024-11-01,11286.978515625
2024-12-01,11217.3359375
2025-01-01,12252.017578125
2025-02-01,12570.380859375
2025-03-01,11122.822265625
2025-04-01,11585.4443359375
2025-05-01,11888.671875
2025-06-01,12632.6494140625
2025-07-01,13426.5595703125
2025-08-01,13241.8134765625
2025-09-01,13930.8671875
2025-10-01,15343.92578125
2025-11-01,15878.1923828125
2025-12-01,15408.8369140625
2026-01-01,20471.8828125
2026-02-01,21071.060546875
2026-03-01,18130.099609375
2026-04-01,19827.767578125
2026-05-01,18730.0
2026-06-01,17555.0
