variant,market,code,name,sector,mkt_rank,F
MR_28+2,KOSPI,034220,LG디스플레이,전자부품 제조업,1,8.0
MR_28+2,KOSPI,204320,HL만도,자동차 신품 부품 제조업,2,7.0
MR_28+2,KOSPI,207940,삼성바이오로직스,기초 의약물질 제조업,5,9.0
MR_28+2,KOSPI,010140,삼성중공업,선박 및 보트 건조업,6,8.0
MR_28+2,KOSPI,012510,더존비즈온,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",7,8.0
MR_28+2,KOSPI,007070,GS리테일,종합 소매업,8,8.0
MR_28+2,KOSPI,066570,LG전자,통신 및 방송 장비 제조업,9,7.0
MR_28+2,KOSPI,181710,NHN,소프트웨어 개발 및 공급업,10,6.0
MR_28+2,KOSPI,023530,롯데쇼핑,종합 소매업,15,8.0
MR_28+2,KOSPI,278470,에이피알,기타 화학제품 제조업,16,8.0
MR_28+2,KOSPI,001740,SK네트웍스,기타 전문 도매업,18,7.0
MR_28+2,KOSPI,011210,현대위아,자동차 신품 부품 제조업,23,6.0
MR_28+2,KOSPI,267250,HD현대,기타 금융업,24,8.0
MR_28+2,KOSPI,069960,현대백화점,종합 소매업,25,8.0
MR_28+2,KOSPI,081660,미스토홀딩스,생활용품 도매업,26,8.0
MR_28+2,KOSPI,229640,LS에코에너지,기타 금융업,27,8.0
MR_28+2,KOSPI,042660,한화오션,선박 및 보트 건조업,29,8.0
MR_28+2,KOSPI,267260,HD현대일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",30,7.0
MR_28+2,KOSPI,082740,한화엔진,일반 목적용 기계 제조업,31,7.0
MR_28+2,KOSPI,329180,HD현대중공업,선박 및 보트 건조업,32,7.0
MR_28+2,KOSPI,015760,한국전력,전기업,33,9.0
MR_28+2,KOSPI,009540,HD한국조선해양,기타 금융업,34,9.0
MR_28+2,KOSPI,097230,HJ중공업,토목 건설업,35,6.0
MR_28+2,KOSPI,007340,DN오토모티브,일차전지 및 이차전지 제조업,37,6.0
MR_28+2,KOSPI,161890,한국콜마,기타 화학제품 제조업,38,9.0
MR_28+2,KOSPI,011070,LG이노텍,전자부품 제조업,40,6.0
MR_28+2,KOSPI,103590,일진전기,절연선 및 케이블 제조업,43,8.0
MR_28+2,KOSPI,012330,현대모비스,자동차 신품 부품 제조업,44,8.0
MR_28+2,KOSDAQ,240810,원익IPS,우량기업부,14,9.0
MR_28+2,KOSDAQ,039030,이오테크닉스,우량기업부,20,7.0
MR_26+4,KOSPI,034220,LG디스플레이,전자부품 제조업,1,8.0
MR_26+4,KOSPI,204320,HL만도,자동차 신품 부품 제조업,2,7.0
MR_26+4,KOSPI,207940,삼성바이오로직스,기초 의약물질 제조업,5,9.0
MR_26+4,KOSPI,010140,삼성중공업,선박 및 보트 건조업,6,8.0
MR_26+4,KOSPI,012510,더존비즈온,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",7,8.0
MR_26+4,KOSPI,007070,GS리테일,종합 소매업,8,8.0
MR_26+4,KOSPI,066570,LG전자,통신 및 방송 장비 제조업,9,7.0
MR_26+4,KOSPI,181710,NHN,소프트웨어 개발 및 공급업,10,6.0
MR_26+4,KOSPI,023530,롯데쇼핑,종합 소매업,15,8.0
MR_26+4,KOSPI,278470,에이피알,기타 화학제품 제조업,16,8.0
MR_26+4,KOSPI,001740,SK네트웍스,기타 전문 도매업,18,7.0
MR_26+4,KOSPI,011210,현대위아,자동차 신품 부품 제조업,23,6.0
MR_26+4,KOSPI,267250,HD현대,기타 금융업,24,8.0
MR_26+4,KOSPI,069960,현대백화점,종합 소매업,25,8.0
MR_26+4,KOSPI,081660,미스토홀딩스,생활용품 도매업,26,8.0
MR_26+4,KOSPI,229640,LS에코에너지,기타 금융업,27,8.0
MR_26+4,KOSPI,042660,한화오션,선박 및 보트 건조업,29,8.0
MR_26+4,KOSPI,267260,HD현대일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",30,7.0
MR_26+4,KOSPI,082740,한화엔진,일반 목적용 기계 제조업,31,7.0
MR_26+4,KOSPI,329180,HD현대중공업,선박 및 보트 건조업,32,7.0
MR_26+4,KOSPI,015760,한국전력,전기업,33,9.0
MR_26+4,KOSPI,009540,HD한국조선해양,기타 금융업,34,9.0
MR_26+4,KOSPI,097230,HJ중공업,토목 건설업,35,6.0
MR_26+4,KOSPI,007340,DN오토모티브,일차전지 및 이차전지 제조업,37,6.0
MR_26+4,KOSPI,161890,한국콜마,기타 화학제품 제조업,38,9.0
MR_26+4,KOSPI,011070,LG이노텍,전자부품 제조업,40,6.0
MR_26+4,KOSDAQ,240810,원익IPS,우량기업부,14,9.0
MR_26+4,KOSDAQ,039030,이오테크닉스,우량기업부,20,7.0
MR_26+4,KOSDAQ,067310,하나마이크론,중견기업부,41,6.0
MR_26+4,KOSDAQ,247540,에코프로비엠,중견기업부,55,7.0
