code,name,sector,market,pool_rank,F
034220,LG디스플레이,전자부품 제조업,KOSPI,1,8.0
204320,HL만도,자동차 신품 부품 제조업,KOSPI,2,7.0
207940,삼성바이오로직스,기초 의약물질 제조업,KOSPI,4,9.0
010140,삼성중공업,선박 및 보트 건조업,KOSPI,7,8.0
181710,NHN,소프트웨어 개발 및 공급업,KOSPI,8,6.0
012510,더존비즈온,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",KOSPI,10,8.0
278470,에이피알,기타 화학제품 제조업,KOSPI,11,8.0
023530,롯데쇼핑,종합 소매업,KOSPI,12,8.0
007070,GS리테일,종합 소매업,KOSPI,13,8.0
066570,LG전자,통신 및 방송 장비 제조업,KOSPI,14,7.0
009540,HD한국조선해양,기타 금융업,KOSPI,20,9.0
011070,LG이노텍,전자부품 제조업,KOSPI,21,6.0
069960,현대백화점,종합 소매업,KOSPI,23,8.0
267250,HD현대,기타 금융업,KOSPI,24,8.0
001740,SK네트웍스,기타 전문 도매업,KOSPI,31,7.0
329180,HD현대중공업,선박 및 보트 건조업,KOSPI,32,7.0
011210,현대위아,자동차 신품 부품 제조업,KOSPI,34,6.0
161890,한국콜마,기타 화학제품 제조업,KOSPI,38,9.0
229640,LS에코에너지,기타 금융업,KOSPI,40,8.0
081660,미스토홀딩스,생활용품 도매업,KOSPI,43,8.0
012330,현대모비스,자동차 신품 부품 제조업,KOSPI,44,8.0
267260,HD현대일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",KOSPI,45,7.0
082740,한화엔진,일반 목적용 기계 제조업,KOSPI,48,7.0
097230,HJ중공업,토목 건설업,KOSPI,50,6.0
015760,한국전력,전기업,KOSPI,54,9.0
007340,DN오토모티브,일차전지 및 이차전지 제조업,KOSPI,57,6.0
042660,한화오션,선박 및 보트 건조업,KOSPI,58,8.0
443060,HD현대마린솔루션,"건축기술, 엔지니어링 및 관련 기술 서비스업",KOSPI,64,7.0
086280,현대글로비스,기타 운송관련 서비스업,KOSPI,67,7.0
030200,KT,전기 통신업,KOSPI,68,7.0
